rank,title,singer,album,date,like,week
28,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.15 ~ 2024.01.21,206571,3
29,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.15 ~ 2024.01.21,56090,3
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.15 ~ 2024.01.21,76387,3
31,Standing Next to You,정국,GOLDEN,2024.01.15 ~ 2024.01.21,69114,3
32,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.15 ~ 2024.01.21,53340,3
33,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.15 ~ 2024.01.21,322164,3
34,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.15 ~ 2024.01.21,132574,3
35,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.15 ~ 2024.01.21,58679,3
36,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.15 ~ 2024.01.21,58518,3
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.15 ~ 2024.01.21,39807,3
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.15 ~ 2024.01.21,37890,3
39,Kitsch,IVE (아이브),I've IVE,2024.01.15 ~ 2024.01.21,157631,3
40,Fast Forward,전소미,GAME PLAN,2024.01.15 ~ 2024.01.21,76078,3
41,취중고백,김민석,취중고백,2024.01.15 ~ 2024.01.21,183394,3
42,심(心),DK(디셈버),심(心),2024.01.15 ~ 2024.01.21,78680,3
43,Either Way,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,75886,3
44,OMG,NewJeans,NewJeans 'OMG',2024.01.15 ~ 2024.01.21,200711,3
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.15 ~ 2024.01.21,249350,3
46,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.15 ~ 2024.01.21,116723,3
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.15 ~ 2024.01.21,202553,3
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.15 ~ 2024.01.21,89108,3
49,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.15 ~ 2024.01.21,172277,3
50,물론,허각,물론,2024.01.15 ~ 2024.01.21,56658,3
51,I Love You,안세하,I Love You,2024.01.15 ~ 2024.01.21,19431,3
52,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.15 ~ 2024.01.21,301006,3
53,Off The Record,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,57425,3
54,해요 (2022),#안녕,해요 (2022),2024.01.15 ~ 2024.01.21,97891,3
55,주저하는 연인들을 위해,잔나비,전설,2024.01.15 ~ 2024.01.21,416815,3
