rank,title,singer,album,date,like,month,year,season
7,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.15.03,98248,1,2024,winter
8,인사,범진,인사,2024.01.15.03,107860,1,2024,winter
9,Baddie,IVE (아이브),I'VE MINE,2024.01.15.03,68660,1,2024,winter
10,Love 119,RIIZE,Love 119,2024.01.15.03,95314,1,2024,winter
11,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.15.03,287040,1,2024,winter
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.15.03,208123,1,2024,winter
13,I AM,IVE (아이브),I've IVE,2024.01.15.03,213131,1,2024,winter
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.15.03,121202,1,2024,winter
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.15.03,69423,1,2024,winter
16,Get A Guitar,RIIZE,Get A Guitar,2024.01.15.03,90308,1,2024,winter
17,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.15.03,125291,1,2024,winter
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.15.03,295879,1,2024,winter
19,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15.03,162158,1,2024,winter
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.15.03,85750,1,2024,winter
21,Ditto,NewJeans,NewJeans 'OMG',2024.01.15.03,281588,1,2024,winter
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.15.03,79716,1,2024,winter
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15.03,287894,1,2024,winter
24,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15.03,120579,1,2024,winter
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.15.03,143725,1,2024,winter
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.15.03,212198,1,2024,winter
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.15.03,436857,1,2024,winter
28,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.15.03,206592,1,2024,winter
29,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.15.03,56143,1,2024,winter
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.15.03,76423,1,2024,winter
31,Standing Next to You,정국,GOLDEN,2024.01.15.03,69126,1,2024,winter
32,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.15.03,53388,1,2024,winter
33,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.15.03,322187,1,2024,winter
34,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.15.03,132588,1,2024,winter
35,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.15.03,58696,1,2024,winter
36,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.15.03,58526,1,2024,winter
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.15.03,39838,1,2024,winter
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.15.03,37937,1,2024,winter
