rank,title,singer,album,date,like,year,month,day,week,season
35,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.03.28,234205,2016,3,28,5,0
56,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.03.28,177245,2016,3,28,5,0
55,꽃송이가,버스커 버스커,버스커 버스커 1집,2016.03.28,102898,2016,3,28,5,0
48,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.04.04,177245,2016,4,4,1,0
59,꽃송이가,버스커 버스커,버스커 버스커 1집,2016.04.04,102898,2016,4,4,1,0
12,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.04.04,345229,2016,4,4,1,0
1,봄이 좋냐??,10CM,3.2,2016.04.04,191569,2016,4,4,1,0
32,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.04.04,234205,2016,4,4,1,0
68,여수 밤바다,버스커 버스커,버스커 버스커 1집,2016.04.04,158070,2016,4,4,1,0
37,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,2016.04.11,234205,2016,4,11,2,0
1,봄이 좋냐??,10CM,3.2,2016.04.11,191569,2016,4,11,2,0
20,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2016.04.11,345229,2016,4,11,2,0
91,여수 밤바다,버스커 버스커,버스커 버스커 1집,2016.04.11,158070,2016,4,11,2,0
79,꽃송이가,버스커 버스커,버스커 버스커 1집,2016.04.11,102898,2016,4,11,2,0
49,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2016.04.11,177245,2016,4,11,2,0
